Frame number,objects entered,objects exited
287,,"33, 32, 30, 28, 25, 23, 22, 14"
288,65,
289,64,64
290,"67, 66","66, 54"
291,"70, 69",16
292,73,
293,,19
294,,35
295,,"59, 21"
296,,
297,,"73, 70, 69, 67, 65, 63, 57, 52, 45, 31"
298,,"36, 35, 32, 30, 28, 25, 23, 22, 19, 16, 14"
299,77,
300,,"77, 29"
301,,52
302,76,76
303,80,63
304,81,
305,,"73, 26"
306,,"70, 67, 29"
307,,
308,,"82, 81, 80, 69, 65, 59, 57, 54, 45, 31"
309,,"36, 35, 32, 29, 28, 25, 23, 22, 19, 16, 14"
310,85,85
311,,69
312,,59
313,,26
314,,54
315,,90
316,91,
317,,
318,,81
319,96,"96, 95, 91, 89, 88, 83, 82, 80, 57, 54, 45, 31"
320,,"37, 36, 35, 32, 29, 28, 25, 23, 22, 19, 16, 14"
321,97,
322,,
323,,"97, 88, 81"
324,99,
325,94,94
326,,"88, 80, 54"
327,100,99
328,103,"103, 21"
329,,96
330,,"105, 104, 100, 95, 91, 90, 89, 88, 83, 82, 57, 45"
331,,"37, 36, 35, 32, 29, 25, 23, 22, 21, 19, 16, 14"
332,,104
333,106,
334,,106
335,,
336,,103
337,111,100
338,,"110, 95"
339,,111
340,,108
342,,"105, 104, 103, 95, 90, 89, 88, 83, 82, 57, 45, 31, 27, 26, 24, 20, 18, 17, 15, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1"
